species,collection_no,collection_name,specimen_ID,part,length,amber,age_ma
Orthophlebia stigmatica,139593,Gloucester (BMNH coll),BMNH J. 32688,wing,15,not_amber,203.9
Palaeochrysa stricta,106384,Florissant (MCZ Collection),1798,hindwing,15,not_amber,35.55
Palaeodytes incompleta,103833,"Durlston Bay, Bed DB175 Clements' Bed, Corbula Beds, Swanage",MNEMG 2003.18,body,15,not_amber,142.6
Palaeomantopsis furcatella,116456,Tikhie Gory (PIN collection 2065),PIN 2065/23,forewing,15,not_amber,270.55
Palaeotanymecides hislopi,119660,"Tßkli Plain, northwest of Nagpur",NA,elytron,15,not_amber,68.3
Palaeovespa scudderi,144782,Florissant (Rohwer Collection),NA,forewing,15,not_amber,35.55
Palaeovespa wilsoni,113749,"Wilson Ranch, Florissant",NA,body,15,not_amber,35.55
Paleochrysopa monteilsensis,144529,Al?s-Monteils (MNHN Collection),MNHN IPM-RO7719,forewing,15,not_amber,35.95
Panorpidium geinitzi,107321,"Grassel, Braunschweig",RMH fig 50,forewing,15,not_amber,182.5
Panorpidium geinitzi,107321,"Grassel, Braunschweig","RMH fig 52,53",forewing,15,not_amber,182.5
Panorpidium geinitzi,107323,"Hondelage, Braunschweig (Boreale Zone)",MGITHB fig 60,forewing,15,not_amber,182.5
Panorpidium geinitzi,107323,"Hondelage, Braunschweig (Boreale Zone)",MGITHB fig 62,forewing,15,not_amber,182.5
Panorpidium geinitzi,107323,"Hondelage, Braunschweig (Boreale Zone)",MGITHB fig 67,forewing,15,not_amber,182.5
Panorpidium geinitzi,104056,"Dobbertin, Mecklenburg (Zessin collection)",LD 328/329,forewing,15,not_amber,178.4
Panorpidium geinitzi,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,tegmen,15,not_amber,182.5
Panorpidium geinitzi,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,tegmen,15,not_amber,182.5
Panorpidium geinitzi,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,tegmen,15,not_amber,182.5
Panorpidium geinitzi,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,tegmen,15,not_amber,182.5
Panorpidium lata,105971,Karatau-Mikhailovka (PIN collection 2066),PIN 2066/808,forewing,15,not_amber,161.7
Panorpidium magna,114990,Dobbertin (Naturkundemuseum Coll.),MBI 54.1,tegmen,15,not_amber,178.4
Panorpidium media,104056,"Dobbertin, Mecklenburg (Zessin collection)",LD 1625/1/2,hindwing,15,not_amber,178.4
Parabittacus lingula,107553,"Hattorf, Fallersleben (Boreale)",GMITHB no number,wing,15,not_amber,182.5
Paracearagryllus poliacanthus,125511,Crato (Vulcano collection),CV-558,body,15,not_amber,117.245
Parachauliodites orthopteroides,104754,"Isady Locality (Mutovino, PIN collection 3840)",PIN 3840/3105,forewing,15,not_amber,257.035
Parachorista religiosa,110767,"Madygen, PIN collection 2083, Madygen (SW area)",PIN 2083/194,forewing,15,not_amber,232.5
Parachorista splendida,122412,Belmont (Mitchell 1925 coll),Mitchell No. 107,hindwing,15,not_amber,253.17
Parageta kitjakensis,105058,Kityak (PIN collection 1366),PIN 1366/441,hindwing,15,not_amber,270.55
Paraprisca grandis,111219,"Elmo, YPM 1921 collection",YPM 15576,forewing,15,not_amber,284.7
Paraspercheus asiaticus,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/522,body,15,not_amber,161.7
Paratriassoneura primitiva,106090,"Madygen, PIN collection 2069, Dzhailoucho area",PIN 2069/18,wing,15,not_amber,232.5
Parelmoa radialis,104822,Midco Locality 8,MCZ 4824,forewing,15,not_amber,284.7
Parelmoa revelata,104824,Midco Locality 15,MCZ 4822,forewing,15,not_amber,284.7
Pentatoma rigosum,121473,"Brunstatt, horizon d2",P. rigosum d2 type,body,15,not_amber,31.15
Perlucipecta aurea,124759,"Huangbanjigou, Chaomidian Village, CNU 2011 collection",CNU-B-NN2011698,forewing,15,not_amber,127.725
Perlucipecta aurea,124759,"Huangbanjigou, Chaomidian Village, CNU 2011 collection",CNU-B-NN2011684,forewing,15,not_amber,127.725
Perlucipecta aurea,124759,"Huangbanjigou, Chaomidian Village, CNU 2011 collection",CNU-B-NN2011703,forewing,15,not_amber,127.725
Perlucipecta aurea,124759,"Huangbanjigou, Chaomidian Village, CNU 2011 collection",CNU-B-NN2011685,forewing,15,not_amber,127.725
Perlucipecta aurea,124759,"Huangbanjigou, Chaomidian Village, CNU 2011 collection",CNU-B-NN2011601,forewing,15,not_amber,127.725
Perlucipecta aurea,124759,"Huangbanjigou, Chaomidian Village, CNU 2011 collection",CNU-B-NN2011694,forewing,15,not_amber,127.725
Perlucipecta aurea,124759,"Huangbanjigou, Chaomidian Village, CNU 2011 collection",CNU-B-NN2011675,forewing,15,not_amber,127.725
Perlucipecta aurea,124759,"Huangbanjigou, Chaomidian Village, CNU 2011 collection",CNU-B-NN2011689,forewing,15,not_amber,127.725
Perlucipecta aurea,124759,"Huangbanjigou, Chaomidian Village, CNU 2011 collection",CNU-B-NN2011609,forewing,15,not_amber,127.725
Permelcana kukalovae,108206,"Chekarda, Sylva River (PIN collection 1700)",PIN 1700/4289,forewing,15,not_amber,275.8
Permessus asiloides,155204,Puy-Saint-Jean,Rudel 64,wing,15,not_amber,25.715
Permoblattina curta,21979,"Elmo, Sellards collection",Sellards Coll 8,tegmen,15,not_amber,284.7
Permoblattina curta,111219,"Elmo, YPM 1921 collection",YPM 15663,tegmen,15,not_amber,284.7
Permophilus capulus,107958,Belmont (BMNH collection),BMNH In 45518,forewing,15,not_amber,253.17
Permopsychops belmontensis,122417,Belmont (Pincombe 1924 coll),Pincombe P.156,wing,15,not_amber,253.17
Permuralia sharovi,108206,"Chekarda, Sylva River (PIN collection 1700)",PIN 1700/491,forewing,15,not_amber,275.8
Phyllophaga disrupta,124680,Florissant (BMNH Collection),BMNH In.26932,elytron,15,not_amber,35.55
Phyloblatta amabilis,122578,Wettin,NA,tegmen,15,not_amber,302.3
Phyloblatta flabellata,133681,Svitßvka,FG 284/34,tegmen,15,not_amber,297.2
Phyloblatta flabellata,122578,Wettin,MH 99,tegmen,15,not_amber,302.3
Phyloblatta fritschiana,122578,Wettin,NA,tegmen,15,not_amber,302.3
Phyloblatta thieryi,151692,"Lens mines, pit 9, bowette 926",MGL 1773,tegmen,15,not_amber,309.2
Phyloblatta vulgata,122604,Cassville,USNM 38901,tegmen,15,not_amber,297.2
Plecia collossea,123945,Rott (Krantz Bonn coll),NA,body,15,not_amber,25.715
Pleisiogramma medialis,111217,"Elmo, MCZ 1927 collection",MCZ 4553,wing,15,not_amber,284.7
Polysitum wudenghaoensis,156006,"Wudenghao, Xiaoshetai, Urad Qianqi",W5-2/S,body,15,not_amber,114.95
Ponomarenkoana probontzagania,121394,"Shar-Teg, outcrop 423/6 (PIN collection 4270)",PIN 4270/205,tegmen,15,not_amber,148.55
Priacma longicapitis,103273,Shar-Tolgoy (PIN collection 4271),PIN 4271/186,elytron,15,not_amber,119
Priacma striata,123220,Pad Semen (PIN collection 2385),PIN 2385/1222,body,15,not_amber,123.955
Principiala incerta,122557,Crato (SMNS collection),SMNS 66000/255,body,15,not_amber,117.245
Priorvespa bullata,119441,"Baissa (PIN collection 4210, layer 22)",PIN 4210/1201,body,15,not_amber,119
Priorvespa longiceps,119499,Turga (PIN collection 1742),PIN 1742/141,body,15,not_amber,123.955
Priorvespa quadrata,113355,"Bon Tsagaan (PIN collection 3559, outcrop 87/8)",PIN 3559/4537,body,15,not_amber,119
Procercopis abscissa,107322,"Beienrode, Fletchtorf",MGITHB fig 206,hindwing,15,not_amber,182.5
Procercopis liasina,123987,"Dobbertin, Mecklenburg (Greifswald collection)",Rostock Pl XLIII fig 40,hindwing,15,not_amber,182.5
Procercopis similis,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,hindwing,15,not_amber,182.5
Prochoroptera calopteryx,151852,"Pit 11, Braidwood, Mazon Creek (Piecko coll)",HTP 12523,forewing,15,not_amber,309.2
Proelcana uralica,108206,"Chekarda, Sylva River (PIN collection 1700)",PIN 1700/1474,forewing,15,not_amber,275.8
Progoneura nobilis,104824,Midco Locality 15,MCZ 4788,hindwing,15,not_amber,284.7
Proptychopterina immensa,110818,Kempendyay River (PIN collection 923),PIN 923/786,wing,15,not_amber,148.55
Prosyntexis gouleti,104659,"Crato, Pedra Branca Quarry (Martins-Neto collection)",RGMN-T139,forewing,15,not_amber,117.245
Proterema rarinervis,128320,Ottendorf,NA,hindwing,15,not_amber,297.2
Protochrysa fuscobasalis,103205,McAbee (University College of the Cariboo TRU coll),UCCIPR L-18 F-1528,forewing,15,not_amber,51.9
Protogryllus (Archaegryllodes) stormbergensis,108811,"Siberia, Wodehouse",SAM cat. no. 2341,tegmen,15,not_amber,195.05
Protogryllus (Protogryllus) germanicus,123989,"Dobbertin, Mecklenburg (BMNH collection)",NHM In. 37203,tegmen,15,not_amber,182.5
Protohymen anomalus,104827,"Tasch Locality Kay II, Bed 6",Univ Wichita 1045,forewing,15,not_amber,284.7
Protohymen largus,104823,Midco Locality 12,MCZ 4672,forewing,15,not_amber,284.7
Protohymen latus,104822,Midco Locality 8,MCZ 4667,hindwing,15,not_amber,284.7
Protohymen permianus,111219,"Elmo, YPM 1921 collection",YPM 5038,forewing,15,not_amber,284.7
Protohymen permianus,111219,"Elmo, YPM 1921 collection",YPM 5040,hindwing,15,not_amber,284.7
Protohymen permianus,111219,"Elmo, YPM 1921 collection",YPM 5053,hindwing,15,not_amber,284.7
Protomyrmeleon kazakhstanensis,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/4433,wing,15,not_amber,161.7
Pruvostiella lecomtei,124902,"Lens mines, pit 9, pass?e de Julie",MGL 1766,wing,15,not_amber,309.2
Pseudochrysobothris ballae,118322,La Pedrera de Rubies Quarry (BMNH collection),NHM In 59501,body,15,not_amber,127.2
Pseudonymphes araripensis,125511,Crato (Vulcano collection),CV-1542,forewing,15,not_amber,117.245
Pseudonymphes ponomarenkoi,125511,Crato (Vulcano collection),CV-214,forewing,15,not_amber,117.245
Pseudopalomena incerta,109196,Willershausen clay pit (GZG collection),GZG 13548,body,15,not_amber,3.094
Pterinoblattina minima,106281,Clockhouse Brickworks (MNEMG collection),MNEMG 2009.38,forewing,15,not_amber,133.2
Qilianiblatta namurensis,139576,"Xiaheyan, Zhongwei County (CNU coll)",CNU-NX1-303,hindwing,15,not_amber,319.2
Quadrisbole stenis,155365,"KHG 89, Zaoshang, Chengtanjiang, Liuyang City",NIGP 70048,forewing,15,not_amber,195.05
Quercopterum decussatum,114186,"Obora, southern edge of ravine",DPCU 43/1963,hindwing,15,not_amber,292.8
Ramonemoura constricta,106090,"Madygen, PIN collection 2069, Dzhailoucho area",PIN 2069/1899,forewing,15,not_amber,232.5
Raraxymyia proxima,138748,Daohugou (CNU 2012 collection),CNU-DIP-NN2012191,body,15,not_amber,161.7
Renaliculus triaenus,155609,"H368, Yantang, Shexian",NIGP 38579,body,15,not_amber,123.955
Rhipidoblattina emacerata,156314,"Zhouyingzi village, Luoping County (Shandong Museum collection)",Shandong Provincial Museum Z81025,tegmen,15,not_amber,161.7
Samaroblatta nitida,155338,"KHG 181, Meitian, Yuanzhu, Lanshan County",NIGP 70012,tegmen,15,not_amber,200.3
Schambeloblattina formosa,131766,"Insektenmergel, Schambelen, Aargau",Pl XL fig 35,tegmen,15,not_amber,198.9
Scharabittacus mongolicus,121393,"Shar-Teg, outcrop 434/2 (PIN collection 4270)",PIN 4270/126,forewing,15,not_amber,148.55
Scolypopites bryani,125666,Redbank Plains,NA,tegmen,15,not_amber,51.9
Scorpiopelecinus versatilis,111725,"Huangbanjigou, Shangyuan Town, NIGP collection",NIGP 134164,body,15,not_amber,127.725
Sharovites alexanderi,105007,"Madygen, PIN collection 2785, Dzhailoucho area",PIN 2785/2199,forewing,15,not_amber,232.5
Shartegoblattina elongata,125978,"Shar-Teg, outcrop 452/2 (PIN collection 4270)",PIN 4270/1803,hindwing,15,not_amber,148.55
Shurabia angustata,122950,Ust-Baley Locality (PIN collection 1670),PIN 1670/414,forewing,15,not_amber,178.4
Shurabia permiana,104754,"Isady Locality (Mutovino, PIN collection 3840)",PIN 3840/3101,forewing,15,not_amber,257.035
Siberioperla abbreviata,122321,Khoutiyn-Khotgor (PIN collection 3688),PIN 3688/195,forewing,15,not_amber,148.55
Sinaesalus longipes,103654,"Yangshuwanzi, Ningcheng County",NIGP 152459,body,15,not_amber,123.955
Sinocalosoma longicornuta,128550,"Shanwang, Linqu County, collection 79/80 (Beijing Museum)",Beijing Museum of Natural History 80175,body,15,not_amber,13.789
Sogdoblatta heiheensis,162200,Yanqing district,BIG IH11,tegmen,15,not_amber,161.7
Sogdoblatta parvula,119621,Oshin-Boro-Udzur-Ula (PIN collection 3792),PIN 3792/67,tegmen,15,not_amber,167.2
Sogjutella mollis,105084,Sogyuty (PIN Collection 2903),PIN 2903/3,wing,15,not_amber,196.05
Sojanoneura kazanensis,122871,Tikhie Gory (Zalessky Collection),NA,tegmen,15,not_amber,270.55
Sojanoneura marginata,116803,Tikhie Gory (PIN collection 2295),PIN 2295/15,tegmen,15,not_amber,270.55
Sooblattella britannica,127543,Clydach Merthyr Colliery,MPG 25413,tegmen,15,not_amber,309.2
Sphenoptera eocaenica,120036,Grube Messel Pit (Museum Darmstadt Collection),729,elytron,15,not_amber,44.5
Spiladopygia exsulata,106384,Florissant (MCZ Collection),5503,body,15,not_amber,35.55
Spiloblattina odernheimensis,156564,"Ruthweiler, near Mulde",NA,tegmen,15,not_amber,297.2
Spiloblattina sperbersbachensis,128478,"Sperbersbach-Schm?cke, near Oberhof (Schleusingen coll.)",NHMS-FP 155/8,tegmen,15,not_amber,292.8
Spiloblattina weissigensis,106345,Fairplay,NA,forewing,15,not_amber,297.2
Staphylinus aquisextanus,122501,Aix-en-Provence (MNHN Paris Coll),NA,body,15,not_amber,25.565
Stromatium barbatum,128552,"Shanwang, Linqu County, collection s (Shandong Provincial Museum)",s82708,body,15,not_amber,13.789
Strophandria grossa,106101,Karatau-Mikhailovka (PIN collection 2239),PIN 2239/2494,forewing,15,not_amber,161.7
Summatiblatta colorata,155338,"KHG 181, Meitian, Yuanzhu, Lanshan County",NIGP 70015,tegmen,15,not_amber,200.3
Sylvabestia tenuis,107787,"Chekarda, Sylva River (PU collection 2)",PU N 2/396,body,15,not_amber,275.8
Sylvaphlebia tuberculata,116642,"6 km upstream of the Tisa works, Sylva river (PIN collection 99)",PIN 99/4b,hindwing,15,not_amber,275.8
Sylvaprisca tyulkinensis,103639,"Tyulkino, PIN collection 3474, Kama River",PIN 3474/15,forewing,15,not_amber,275.8
Syntexyela continentalis,111725,"Huangbanjigou, Shangyuan Town, NIGP collection",NIGP 135549,body,15,not_amber,127.725
Sysciolata vorkutensis,126064,"Khal'meryuskoye, borehole KhK-227, depth 148.4 m",PIN 1631/68,tegmen,15,not_amber,275.8
Taublatta kisylkiensis,114701,Kyzyl-Kiya,KK 1/32,tegmen,15,not_amber,186.75
Teleoschistus antiquus,121480,Quesnel,38,body,15,not_amber,28.465
Telmatrechus defunctus,119896,Quilchena,Handlirsch 1910 Fig 34,body,15,not_amber,51.9
Termopsis transsylvanica,156755,"Tompa, near Piski",NA,forewing,15,not_amber,12.154
Tersoides capitatus,105971,Karatau-Mikhailovka (PIN collection 2066),PIN 2066/2631,body,15,not_amber,161.7
Therates planus,21979,"Elmo, Sellards collection",Sellards planus type,wing,15,not_amber,284.7
Tillyardembia antennaeplana,102504,"Chekarda, Sylva River (Zalessky material)",Zalessky 10,body,15,not_amber,276
Timarchopsis latus,105003,"Sai-Sagul, Shurab-III (PIN collection 3073)",PIN 3073/151,body,15,not_amber,186.75
Timarchopsis longus,121394,"Shar-Teg, outcrop 423/6 (PIN collection 4270)",PIN 4270/947,body,15,not_amber,148.55
Tipula peusi,122010,Rott (Statz coll),NA,body,15,not_amber,25.715
Tipula sectorialis,123872,"Dyckeroff's quarry, Biebrich near Mainz-Castel",NHMM 85,wing,15,not_amber,21.735
Tipula sepulchri,122090,Green River (Packard Collection),9,wing,15,not_amber,48.25
Toksunius chinaticus,156325,"Kerjie, Toksun County",NIGP 86093,body,15,not_amber,218.25
Triassoblatta natalensis,151912,"Burnera Water Fall, upper Umkomaas",BMNH In 59529,tegmen,15,not_amber,232.5
Trogus vetus,106384,Florissant (MCZ Collection),MCZ 2102,body,15,not_amber,35.55
Tshekardobia panorpitincta,104992,Soyana (PIN collection 3353),PIN 3353/50,forewing,15,not_amber,270.55
Tshekardocoleus magnus,116652,"Chekarda, Sylva River (PIN collection 168)",PIN 168/28,elytron,15,not_amber,275.8
Tshekardocoleus magnus,107787,"Chekarda, Sylva River (PU collection 2)",PU 2/323,elytron,15,not_amber,275.8
Tshekardocoleus magnus,107787,"Chekarda, Sylva River (PU collection 2)",PU 2/323,body,15,not_amber,275.8
Ulmeriella bauckhorni,122010,Rott (Statz coll),LACMIP 3105,forewing,15,not_amber,25.715
Valdicossus chesteri,103930,Cooden Beach,MNEMG 2008.2,hindwing,15,not_amber,133.2
Vitimotaulius secundus,123197,Unda (PIN collection 3015),PIN 3015/1376,forewing,15,not_amber,148.55
Xenoblatta ploetziana,124386,NMMNH L-3433; Carrizo Arroyo,NMMNH P-36918,forewing,15,not_amber,301.3
Xinjiangia tashidianensis,154835,"Tashidian, sample H76, Korla",Hong ST101,forewing,15,not_amber,168.2
Xylocopa jurinei,117252,Oeningen (Zurich collection),"ETH Pl. I, 682a",forewing,15,not_amber,12.154
Zeunera madeleinae,120351,Menat (Piacentini coll.),Coll. Piacentini 1,body,15,not_amber,57.6
Zygadenia semen,123220,Pad Semen (PIN collection 2385),PIN 2385/1042,body,15,not_amber,123.955
Zygadenia validus,151534,"AAI046, Lingyuan",NIGP 20112,elytron,15,not_amber,119
Hydrobiomorpha eopalpalis,120798,Grube Messel Pit (Senckenberg SMF collection),SMF MeI 8801,elytron,15.04,not_amber,44.5
Anthoxyela orientalis,111714,"Huangbanjigou, Chaomidian Village, CNU 2008 collection",CNU-HYM-LB-2008003,body,15.1,not_amber,127.725
Blattinopsis (Blattinopsis) arnhardti,128478,"Sperbersbach-Schm?cke, near Oberhof (Schleusingen coll.)",SW 155/17a,forewing,15.1,not_amber,292.8
Capnodis puncticollis,115304,Oeningen (Lavater'schen collection),C. puncticollis Oeningen type,elytron,15.1,not_amber,12.154
Cretaproscolia asiatica,106313,"Nanligezhuang, Tuanwang Town, Laiyang City (Shandong Prov. Mus.)",NIGP L91311,body,15.1,not_amber,119
Jiania crebra,113371,Daohugou (NIGP collection),NIGP 154602,tegmen,15.1,not_amber,161.7
Latiblattella avita,135666,Dakin (Kishenehn),USNM 595139,tegmen,15.1,not_amber,44.55
Macropunctum messelense,162179,"Grube Messel Pit, grid square D9/10, excavation 6, 1-2 m above alpha",SMF MeI 1351,body,15.1,not_amber,44.5
Nevania aspectabilis,138748,Daohugou (CNU 2012 collection),CNU-HYM-NN2012005,body,15.1,not_amber,161.7
Nevania delicata,113371,Daohugou (NIGP collection),NIGP 143700,body,15.1,not_amber,161.7
Palaeochresmoda grauvogeli,114783,Hangviller,EOST Coll. Grauvogel-Gall 9149,forewing,15.1,not_amber,244.6
Protainophthalmus rugicollis,115304,Oeningen (Lavater'schen collection),L. rugicollis Oeningen type,body,15.1,not_amber,12.154
Pseudoclavellaria longiclava,128551,"Shanwang, Linqu County, collection 3",840006,body,15.1,not_amber,13.789
Sylvohymen peckae,110939,Hagen-Vorhalle quarry (FMW collection),FMW N1019,hindwing,15.1,not_amber,316.35
Zonabris immaculatus,113685,Menat (Piton collection),Coll. Piton 650,elytron,15.1,not_amber,57.6
Anthoscytina perpetua,113366,Daohugou (CNU 2010 collection),CNU-HEM-NN2010003,tegmen,15.2,not_amber,161.7
Argentinoblatta herbsti,122987,Rio Gualo (5th cycle),PULR-I 220,tegmen,15.2,not_amber,239.5
Asopus puncticollis,113685,Menat (Piton collection),Coll. Piton 155,wing,15.2,not_amber,57.6
Azaroneura permiana,108206,"Chekarda, Sylva River (PIN collection 1700)",PIN 1700/473,wing,15.2,not_amber,275.8
Calosoma ceresti,122535,C?reste (Nancy coll),Fliche 82,elytron,15.2,not_amber,25.565
Camponotus induratus,117247,Radoboj (NHMW Wien Collection),NHMW 1852.XXIX.4,body,15.2,not_amber,18.205
Camponotus microthoracus,128550,"Shanwang, Linqu County, collection 79/80 (Beijing Museum)",79128,body,15.2,not_amber,13.789
Cathaypelecinus daohugouensis,113360,Daohugou (CNU 2006 collection),CNU-HY-NN2006003,body,15.2,not_amber,161.7
Condorblatta lutzae,122987,Rio Gualo (5th cycle),PULR-I 285,tegmen,15.2,not_amber,239.5
Corymbites emblemoelytrus,130412,"Shanwang, Linqu County, collection 5",750155,elytron,15.2,not_amber,13.789
Daohugoa tobiasi,113371,Daohugou (NIGP collection),NND113/NIGP 137014,body,15.2,not_amber,161.7
Dysmorphoptiloides elongata,106484,Mount Crosby Insect Bed,UQ C614,tegmen,15.2,not_amber,232.5
Evertus cornutus,104054,"Myangad locality, Section 221/17",PIN 3152/4305,body,15.2,not_amber,119
Lasiosyne quadricollis,113365,Daohugou (CNU 2009 collection),CNU-COL-NN2009124,body,15.2,not_amber,161.7
Ludius granulicollis,106381,"Florissant, Station 14",YPM 1,elytron,15.2,not_amber,35.55
Macropunctum messelense,162180,"Grube Messel Pit, grid square H9, excavation 4, 5.5-6.5 m above alpha",SMF MeI 911,body,15.2,not_amber,44.5
Panorpidium geinitzi,104056,"Dobbertin, Mecklenburg (Zessin collection)",LD 1778/1/2,forewing,15.2,not_amber,178.4
Paradesmatus baiae,113360,Daohugou (CNU 2006 collection),CNU-COL-NN2006803,body,15.2,not_amber,161.7
Phyllelytron granulatum,107958,Belmont (BMNH collection),BMNH In 38113,forewing,15.2,not_amber,253.17
Pliocleonus gibbosus,109196,Willershausen clay pit (GZG collection),GZG 21933,body,15.2,not_amber,3.094
Postxiphydria ningchengensis,113371,Daohugou (NIGP collection),"NND0344, 0537/NIGP 151932ab",body,15.2,not_amber,161.7
Procercopis longipennis,105087,"Ak-Bulak-Say, Sogjuta, Issyk-Kul (PIN Collection 371)",PIN 371/528,hemelytron,15.2,not_amber,196.05
Proephialtitia acantha,123761,Daohugou (CNU 2014 collection),CNU-HYM-NN2014004,forewing,15.2,not_amber,161.7
Pronemoura angustithorax,112663,Daohugou (CNU collection),CNU NMDHG13,forewing,15.2,not_amber,161.7
Sojanasialis longipennis,104716,Soyana (PIN collection 117),PIN 117/2459,forewing,15.2,not_amber,270.55
Tachinymphes penalveri,28006,Las Hoyas Unit 3,LH-18587,forewing,15.2,not_amber,127.725
Callidiopsites grandiceps,106380,"Florissant, Station 13B",NA,body,15.25,not_amber,35.55
Baissomyia redita,119441,"Baissa (PIN collection 4210, layer 22)",PIN 4210/3152,body,15.3,not_amber,119
Bibio lignarius,115802,Rott (Goldfuss Bonn collection),NA,body,15.3,not_amber,25.715
Brnia raketa,114186,"Obora, southern edge of ravine",DPCU 27/1963,forewing,15.3,not_amber,292.8
Chrysopa martynovae,125990,"Vishnevaya Balka creek, outcrop 4, Stavropol (PIN collection 254)",PIN 254/2825,forewing,15.3,not_amber,13.789
Fuzia dadao,113360,Daohugou (CNU 2006 collection),CNU-B-NN-2006-672,body,15.3,not_amber,161.7
Jiania gracila,113371,Daohugou (NIGP collection),NIGP 154606,body,15.3,not_amber,161.7
Liadoblattina blakei,107552,"Hattorf, Fallersleben (Elegans)",MGITHB fig 102,hindwing,15.3,not_amber,182.5
Panorpidium geinitzi,107323,"Hondelage, Braunschweig (Boreale Zone)",MGITHB fig 58,forewing,15.3,not_amber,182.5
Panorpidium geinitzi,104056,"Dobbertin, Mecklenburg (Zessin collection)",LD 43/44,forewing,15.3,not_amber,178.4
Panorpidium geinitzi,104056,"Dobbertin, Mecklenburg (Zessin collection)",LD 1458/1/3,forewing,15.3,not_amber,178.4
Parathyrea jurassica,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/530,elytron,15.3,not_amber,161.7
Pseudoclavellaria autochthona,128551,"Shanwang, Linqu County, collection 3",830045,forewing,15.3,not_amber,13.789
Shartexyela mongolica,121393,"Shar-Teg, outcrop 434/2 (PIN collection 4270)",PIN 4270/119,forewing,15.3,not_amber,148.55
Tumearolium humifuse,128552,"Shanwang, Linqu County, collection s (Shandong Provincial Museum)",s82697,body,15.3,not_amber,13.789
Hydrobiomorpha eopalpalis,120798,Grube Messel Pit (Senckenberg SMF collection),SMF MeI 14614,elytron,15.32,not_amber,44.5
Psiloptera transversovittata,162181,"Grube Messel Pit, grid square E10, excavation 9, 0.5 m below-0.5 m above alpha",SMF MeI 488,elytron,15.32,not_amber,44.5
Psiloptera transversovittata,163216,"Grube Messel Pit, grid square L13, 5-8 m below horizon M",SMF MeI 1494,elytron,15.32,not_amber,44.5
Osmylidia requieta,106384,Florissant (MCZ Collection),8839,forewing,15.35,not_amber,35.55
Alloraphidia asiatica,105969,Baissa (PIN collection 3064),PIN 3064/2370,forewing,15.4,not_amber,119
Anthophorites mellona,117252,Oeningen (Zurich collection),A. mellona Zurich type,body,15.4,not_amber,12.154
Anthribites moussonii,115305,Oeningen (Carlsruhe collection),A. moussoni Oeningen type,body,15.4,not_amber,12.154
Apis henshawi,122535,C?reste (Nancy coll),EFN 173,body,15.4,not_amber,25.565
Bibio tripus,109196,Willershausen clay pit (GZG collection),GZG 13627,body,15.4,not_amber,3.094
Buprestis deleta,115305,Oeningen (Carlsruhe collection),A. deleta Oeningen type,body,15.4,not_amber,12.154
Capnodis puncticollis,115304,Oeningen (Lavater'schen collection),C. puncticollis compressa type,elytron,15.4,not_amber,12.154
Chironomus oeningensis,113689,Oeningen (von Seyfried collection),C. oeningensis Seyfried type,body,15.4,not_amber,12.154
Curticantharis capacis,128551,"Shanwang, Linqu County, collection 3",830289,body,15.4,not_amber,13.789
Dicronemoura acaulis,110763,"Madygen, PIN collection 2240, Dzhailoucho area",PIN 2240/2199,forewing,15.4,not_amber,232.5
Driocampus shanwanganus,138944,"Shanwang, Linqu County, collection K0 (Shandong Geological Museum)",Shandong Geological Museum K0057,body,15.4,not_amber,13.789
Eorpa ypsipeda,144347,McAbee (CDM collection),2003.2.5-CDM-029,forewing,15.4,not_amber,51.9
Escheria ovalis,115304,Oeningen (Lavater'schen collection),E. ovalis Oeningen type,body,15.4,not_amber,12.154
Francotermes bauzilensis,113893,"Montagne d'Andance, Saint-Bauzile, Privas (MNHN collection)",MNHN IPM-R.54207,forewing,15.4,not_amber,7.0165
Gallegomorphoptila kotejai,122988,Quebrada de Ischichuca Chica,PULR-I 314,forewing,15.4,not_amber,239.5
Gerablattina eversa,122604,Cassville,Coll Lacoe 2145a,tegmen,15.4,not_amber,297.2
Itaphlebia generosa,105968,Chernovskie Kopi (PIN collection 4626),PIN 4626/173,forewing,15.4,not_amber,127.2
Macropunctum messelense,139219,"Grube Messel Pit, grid square E15, 1 m below to 2 m above alpha",SMF MeI 1132,body,15.4,not_amber,44.5
Oecophylla obesa,117246,Radoboj (Gr?tz Collection),UMJG&P 77.625,forewing,15.4,not_amber,18.205
Panorpidium geinitzi,104056,"Dobbertin, Mecklenburg (Zessin collection)",LD 82/83,forewing,15.4,not_amber,178.4
Phalaenites obsoleta,117761,Radoboj (Montanistischen Collection),P. obsoleta Wien type,hindwing,15.4,not_amber,18.205
Phyloblatta flabellata,127934,Breitenbach,MS 130,tegmen,15.4,not_amber,294.5
Prolamioides bituminosus,120351,Menat (Piacentini coll.),MNHN.F.R07016,elytron,15.4,not_amber,57.6
Saperda nephele,113689,Oeningen (von Seyfried collection),S. nephele Oeningen type,body,15.4,not_amber,12.154
