species,collection_no,collection_name,specimen_ID,part,length,amber,age_ma
Anaphothrips parallelus,120813,Baltic Amber (Museum Ziemi collection),MZ 17440 TG,forewing,0.58,amber,35.95
Anaphothrips parallelus,129227,Bitterfeld amber (MfN collection),MfN MB.I.789,forewing,0.58,amber,25.565
Archiaustroconops kotejai,104053,Burmese amber (Poinar collection),Poinar In. C-4,wing,0.58,amber,96.55
Frirenia rohdendorfi,122996,"Rovno Amber, Dubrovitsa locality (SIZC D collection)",D-2234,body,0.58,amber,35.95
Heterothrips dietrichi,160460,"Baltic Amber, Kiesgruben west of Sarstedt",Dietrich 28.00332.02,forewing,0.58,amber,35.95
Hydroscapha jeholensis,111725,"Huangbanjigou, Shangyuan Town, NIGP collection",NIGP 152505,elytron,0.58,not_amber,127.725
Protoxythrips probus,129227,Bitterfeld amber (MfN collection),MfN MB.I.793,forewing,0.58,amber,25.565
Conarete laesus,113621,"Rovno Amber, Ukryantar factory material (SIZC UA collection)",UA-133,wing,0.583,amber,35.95
Anaphothrips intermedius,120813,Baltic Amber (Museum Ziemi collection),MZ 15160 TG,forewing,0.585,amber,35.95
Caliothrips verae,160460,"Baltic Amber, Kiesgruben west of Sarstedt",Dietrich 28.00497.02,forewing,0.585,amber,35.95
Protanaphothrips suspensus,120813,Baltic Amber (Museum Ziemi collection),MZ 14687 TG,forewing,0.585,amber,35.95
Protanaphothrips vicinus,120813,Baltic Amber (Museum Ziemi collection),MZ 20882 TG,forewing,0.585,amber,35.95
Apodendrothrips major,129227,Bitterfeld amber (MfN collection),MfN MB.I.784,forewing,0.59,amber,25.565
Brachypogon (Brachypogon) miocaenicus,129227,Bitterfeld amber (MfN collection),MfN MB.I-8-44,wing,0.59,amber,25.565
Didymomyia accidentalis,113621,"Rovno Amber, Ukryantar factory material (SIZC UA collection)",SIZC UA-1100,body,0.59,amber,35.95
Leptoconops (Leptoconops) copiosus,123016,"Sunrise landing, East Brunswick",NA,wing,0.59,amber,91.85
Leptoconops (Leptoconops) daugeroni,122469,"Font-de-Benon Quarry, A1sl-A level",IGR.ARC-182.3,wing,0.59,amber,102.45
Leptoconops (Palaeoconops) antiquus,123017,"Bchare Mountain, Lebanese amber (AMNH coll)",AMNH,wing,0.59,amber,127.2
Serphites raritanensis,110895,White Oaks Pit (Old Crossman's Clay Pits),AMMH NJ-528 (K. Luzzi KL-525),forewing,0.59,amber,91.85
Serphites raritanensis,110895,White Oaks Pit (Old Crossman's Clay Pits),NJ-1074,forewing,0.59,amber,91.85
Eoanaphes stethynioides,117614,"Spring site, Middle Fork Flathead River (Kishenehn)",NMNH 543764,forewing,0.593,not_amber,44.55
Anteucoila delicia,122389,"Grassy Lake, Medicine Hat (TMP 96.9 accession)",RTMP 96.9.785,forewing,0.6,amber,77.05
Baeodasymyia dominicana,122982,Dominican amber (AMNH coll),AMNH DR-8-112,body,0.6,amber,17.13
Baeomorpha dubitata,122356,Cedar Lake (ROM collection),ROM 37,body,0.6,amber,77.05
Ceratoculicoides danicus,123762,Baltic Amber (University of Copenhagen ZMUC Collection),ZMC 127,wing,0.6,amber,35.95
Culicoides casei,110895,White Oaks Pit (Old Crossman's Clay Pits),AMNH NJ-43,wing,0.6,amber,91.85
Dienerella nielseni,110735,"Baltic Amber, GPIH collection",GPIH 4450,elytron,0.6,amber,35.95
Distylopus bisegmentus,122354,Cedar Lake (MCZ collection),MCZ 5298,body,0.6,amber,77.05
