species,collection_no,lithology,specimen ID,part,measurement,mean
Anthoscytina perpetua,138748,"""shale""",CNU-HEM-NN2012003,tegmen,length,14.1
Anthoscytina perpetua,113366,"""shale""",CNU-HEM-NN2010003,tegmen,width,3.9
Anthoscytina perpetua,113366,"""shale""",CNU-HEM-NN2010003,tegmen,length,15.2
Anthoxyela anthophaga,122549,marl/siltstone,PIN 3064/1911,forewing,length,11
Anthoxyela anthophaga,122549,marl/siltstone,PIN 3064/1911,body,length,12
Anthoxyela anthophaga,122549,marl/siltstone,PIN 3064/1911,ovipositor,length,2
Anthoxyela baissensis,105969,marl,PIN 3064/634,forewing,length,12
Anthoxyela orientalis,111714,mudstone,CNU-HYM-LB-2008003,forewing,length,10.2
Anthoxyela orientalis,111714,mudstone,CNU-HYM-LB-2008003,body,length,15.1
Anthoxyela turgensis,119499,mudstone,PIN 1742/133,forewing,length,11
Anthoxyela turgensis,119499,mudstone,PIN 1742/133,body,length,16
Anthracoblattina arnhardti,127934,mudstone,SW/A 155/5,tegmen,width,7.5
Anthracoblattina arnhardti,127934,mudstone,SW/A 155/5,tegmen,length,20.5
Anthracoblattina didyma,122578,"""shale""",MH 5,forewing,width,15
Anthracoblattina didyma,122578,"""shale""",MH 5,forewing,length,40
Anthracoblattina dresdensis,122595,"""siliciclastic""",GM 1300,forewing,width,11
Anthracoblattina dresdensis,122595,"""siliciclastic""",GM 1300,forewing,length,28
Anthracoblattina gigantea,103635,"""shale""",NA,tegmen,length,48
Anthracoblattina gigantea,103635,"""shale""",NA,tegmen,length,42
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51239,tegmen,width,18
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51239,tegmen,length,34
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51041,tegmen,width,15
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51041,tegmen,length,35
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51507,tegmen,width,16
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51507,tegmen,length,34
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51508,tegmen,width,15
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51508,tegmen,length,38
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51526,tegmen,width,18.5
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51526,tegmen,length,47
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51571,tegmen,width,18
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51571,tegmen,length,43
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51527,tegmen,width,19
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51527,tegmen,length,41
Anthracoblattina gigantea,121979,"""shale""",NA,tegmen,width,15
Anthracoblattina gigantea,121979,"""shale""",NA,tegmen,length,38
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51326,tegmen,width,17
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51326,tegmen,length,42
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51050,tegmen,width,17
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51050,tegmen,length,38
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51534,tegmen,width,16.5
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51534,tegmen,length,40
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51183,tegmen,width,16
Anthracoblattina gigantea,121979,"""shale""",MNHN F-R.51183,tegmen,length,37
Anthracoblattina gigantea,121979,"""shale""",NA,tegmen,width,15
Anthracoblattina gigantea,121979,"""shale""",NA,tegmen,length,45
Anthracoblattina lebachensis,122606,"""shale""",BM 7,forewing,width,15
Anthracoblattina lebachensis,122606,"""shale""",BM 7,forewing,length,34.2
Anthracoblattina mendesi,128241,"""shale""",MCN.P 218,tegmen,width,12
Anthracoblattina mendesi,128241,"""shale""",MCN.P 218,tegmen,length,28
Anthracoblattina porrecta,122580,not reported,NA,forewing,width,12.5
Anthracoblattina porrecta,122580,not reported,NA,forewing,length,34
Anthracoblattina porrecta,127937,"""shale""",NA,forewing,width,15
Anthracoblattina porrecta,127937,"""shale""",NA,forewing,length,47
Anthracoblattina porrecta,128485,"""shale""",MLU Halle-Wittenberg 481387,forewing,width,13
Anthracoblattina porrecta,128485,"""shale""",MLU Halle-Wittenberg 481387,forewing,length,35
Anthracoblattina porrecta,122580,not reported,NA,forewing,width,20
Anthracoblattina porrecta,122580,not reported,NA,forewing,length,50
Anthracoblattina porrecta,122580,not reported,NA,abdomen,width,10
Anthracoblattina porrecta,122580,not reported,NA,abdomen,length,40
Anthracoblattina porrecta,122580,not reported,NA,head,width,5
Anthracoblattina porrecta,122580,not reported,NA,head,length,2
Anthracoblattina porrecta,122580,not reported,NA,pronotal shield,width,10
Anthracoblattina porrecta,122580,not reported,NA,pronotal shield,length,15
Anthracoblattina porrecta,122580,not reported,NA,hindleg,length,35
Anthracoblattina poryvaikaensis,124593,"""siliciclastic""",PIN 1292/12,tegmen,width,13.8
Anthracoblattina poryvaikaensis,124593,"""siliciclastic""",PIN 1292/12,tegmen,length,44
Anthracoblattina rueckerti,122599,not reported,NA,apex only,width,13.5
Anthracoblattina rueckerti,122599,not reported,NA,apex only,length,30
Anthracoblattina rueckerti,122599,not reported,FG 262/4,tegmen,width,16
Anthracoblattina rueckerti,122599,not reported,FG 262/4,tegmen,length,22
Anthracoblattina rueckerti,122599,not reported,BM c.3,tegmen,width,17.4
Anthracoblattina rueckerti,122599,not reported,BM c.3,tegmen,length,24
Anthracoblattina rueckerti,128548,"""shale""",FG 262/2,tegmen,width,16
Anthracoblattina rueckerti,128548,"""shale""",FG 262/2,tegmen,length,29.5
Anthracoblattina rueckerti,127934,mudstone,SW/A 155/25,tegmen,width,8
Anthracoblattina rueckerti,127934,mudstone,SW/A 155/25,tegmen,length,24
Anthracoblattina rueckerti,127934,mudstone,FG 256/3,tegmen,width,8.6
Anthracoblattina rueckerti,127934,mudstone,FG 256/3,tegmen,length,20.8
Anthracoblattina rueckerti,127934,mudstone,SW/A 155/2,tegmen,width,11
Anthracoblattina rueckerti,127934,mudstone,SW/A 155/2,tegmen,length,19.6
Anthracoblattina spectabilis,122579,"""shale""",NA,forewing,width,22
Anthracoblattina spectabilis,122579,"""shale""",NA,forewing,length,54
Anthracoblattina spectabilis,122579,"""shale""",NA,tegmen,length,45
Anthracoblattina striata,121979,"""shale""",MNHN F-R.51541,tegmen,width,10
Anthracoblattina striata,121979,"""shale""",MNHN F-R.51541,tegmen,length,27
Anthracoblattina triassica,106345,"""siliciclastic""",Scudder 24(64),tegmen,length,27.5
Anthracomastax furcifer,123820,"""siliciclastic""",NA,wing,length,50
Anthracomastax furcifer,123820,"""siliciclastic""",NA,wing,width,20
Anthracoptilus perrieri,121979,"""shale""",NA,forewing,width,11
Anthracoptilus perrieri,121979,"""shale""",NA,forewing,length,41
Anthracothremma robusta,21981,mudstone,Lacoe 2048,forewing,width,8.65
Anthracothremma robusta,21981,mudstone,Lacoe 2048,forewing,length,28
Anthracothremma robusta,21981,mudstone,Lacoe 2048,body,width,10
Anthracothremma robusta,21981,mudstone,Lacoe 2048,body,length,30
Anthrakoris aetherius,112638,mudstone,FMNH PE145,forewing,width,13
Anthrakoris aetherius,112638,mudstone,FMNH PE145,forewing,length,40
Anthrax dentoni,97617,mudstone,UC Boulder DC 1,wing,width,2.5
Anthrax dentoni,97617,mudstone,UC Boulder DC 1,wing,length,8
Anthribites cretaceus,123528,mudstone,PIN 3800/1209,body,length,8.5
Anthribus sordidus,106384,"""shale""",Scudder 2675,body,length,5
Anticedusa dominicana,123422,amber,BMNH Pal. PI II 542,body,length,2.6
Antillopsyche auricula,122474,amber,SMNS Do-5714,forewing,length,5
Antillopsyche digitus,122474,amber,SMNS Do-5715,forewing,length,4.8
Antillopsyche oliveri,122474,amber,SMNS Do-5708,forewing,length,4.3
Antiphloeus stramineus,123850,amber,MNHN PA-15066,body,width,1.1
Antiphloeus stramineus,123850,amber,MNHN PA-15066,body,length,2.8
Antiquamedia tenuipes,112846,siltstone,PIN 2335/75,wing,length,2
Antiquamedia tenuipes,112846,siltstone,PIN 2335/75,body,length,2.75
Antiquanabittacus nanus,106417,sandstone,BMB 024667/8,hindwing,width,3.2
Antiquanabittacus nanus,106417,sandstone,BMB 024667/8,hindwing,length,13.5
Antiquaphis robustus,120813,amber,MZ 16252,forewing,length,1.5
Antiquecynips orientalis,105375,mudstone,PIN 3901/102,body,length,3.9
Antiquis opaque,122469,amber,IGR.ARC-331.2,elytron,length,0.81
Antiquis opaque,122469,amber,IGR.ARC-331.2,body,width,1
Antiquis opaque,122469,amber,IGR.ARC-331.2,body,length,1.59
Antocha principalis,106384,"""shale""",Scudder 215,wing,length,6.5
Antodicranomyia azari,99114,amber,ARC 186.2,Body,width,1.1
Antodicranomyia azari,99114,amber,ARC 186.2,Body,length,5
Antodicranomyia azari,99114,amber,ARC 186.2,wing,width,1.13
Antodicranomyia azari,99114,amber,ARC 186.2,wing,length,4.1
Antodicranomyia azari,99114,amber,ARC 182.6,wing,width,1.2
Antodicranomyia azari,99114,amber,ARC 182.6,wing,length,4.2
Anusoblatta recta,146282,mudstone,NIGP 31095,tegmen,width,6
Anusoblatta recta,146282,mudstone,NIGP 31095,tegmen,length,21
Anypostatus taurus,123987,claystone,NA,body,length,4
Aonikenkissus zamunerae,157878,"""shale""",MPM-PI-14932,forewing,width,1.2
Aonikenkissus zamunerae,157878,"""shale""",MPM-PI-14932,forewing,length,3
Aortomima shandongensis,106313,"""shale""",Shandong Provincial Museum L84109,wing,width,1.1
Aortomima shandongensis,106313,"""shale""",Shandong Provincial Museum L84109,wing,length,2.5
Aortomima shandongensis,106313,"""shale""",Shandong Provincial Museum L84109,body,length,3.37
